Sector,Symbol,Open,High,Low,Last Traded Price,Change,%Change,Traded Volume(lacs),Traded Value(crs),52 Week High,52 Week Low,365 Days % Change,30 Days % Change
Shipping,ADANIPORTS,246.00,252.80,238.90,244.20,-0.60,-0.25,72.10,179.14,430.60,203.00,-35.69,-28.31
Consumer Goods,ASIANPAINT,1615.10,1616.00,1517.25,1522.00,-81.20,-5.06,29.26,449.42,1916.70,1291.25,0.18,-14.82
Financial Services,AXISBANK,360.20,362.30,324.00,326.90,-31.75,-8.85,413.18,1417.61,827.75,286.00,-57.40,-52.22
Automobile,BAJAJ-AUTO,2051.10,2056.30,1957.55,2020.00,-31.10,-1.52,6.92,139.21,3315.15,1788.65,-29.20,-27.66
Financial Services,BAJAJFINSV,4560.00,4646.00,4430.00,4520.05,18.15,0.40,7.22,327.73,9950.00,4160.25,-37.91,-49.30
Financial Services,BAJFINANCE,2268.80,2343.70,2183.05,2211.00,-8.35,-0.38,61.73,1396.77,4923.40,2100.00,-27.63,-49.30
Telecom,BHARTIARTL,432.00,432.00,415.60,424.10,2.75,0.65,141.54,599.44,568.85,305.18,18.98,-18.18
Energy,BPCL,301.00,326.00,287.15,317.00,14.05,4.64,143.21,442.33,549.00,252.00,-16.69,-23.12
Consumer Goods,BRITANNIA,2588.95,2610.00,2475.00,2572.00,7.15,0.28,7.27,184.19,3583.75,2100.00,-14.10,-12.79
Pharma,CIPLA,425.00,454.70,416.25,448.00,34.25,8.28,179.07,793.22,586.00,355.30,-14.28,11.46
Metals & Mining,COALINDIA,138.60,139.90,131.80,137.75,-1.70,-1.22,109.37,148.91,271.45,119.20,-41.73,-18.66
Pharma,DRREDDY,3085.00,3218.85,3025.10,3146.85,51.85,1.68,11.74,368.99,3364.95,2351.20,12.44,8.30
Automobile,EICHERMOT,13060.00,13099.90,12600.00,12615.00,-386.60,-2.97,1.81,231.80,23450.00,12600.00,-38.71,-25.85
Energy,GAIL,77.00,82.00,75.15,80.75,5.00,6.60,190.35,151.22,182.70,65.00,-77.73,-18.97
Cement,GRASIM,473.50,477.70,451.20,453.10,-23.05,-4.84,14.70,68.48,959.80,385.05,-46.42,-32.22
Information Technology,HCLTECH,418.90,428.60,399.30,409.85,-3.70,-0.89,81.66,339.30,623.50,375.25,-62.83,-25.44
Financial Services,HDFC,1575.50,1578.80,1482.25,1499.75,-83.75,-5.29,101.49,1535.21,2499.90,1473.45,-24.86,-31.19
Financial Services,HDFCBANK,843.00,844.00,810.00,811.00,-18.65,-2.25,174.99,1444.13,1305.50,738.75,-64.66,-31.25
Automobile,HEROMOTOCO,1610.05,1623.00,1543.15,1589.00,-50.65,-3.09,15.93,251.65,3022.90,1475.00,-38.17,-19.56
Metals & Mining,HINDALCO,92.10,93.45,88.40,88.80,-2.85,-3.11,82.17,73.68,221.20,84.90,-59.07,-40.70
Consumer Goods,HINDUNILVR,2234.00,2254.10,2127.95,2153.00,-26.65,-1.22,41.21,899.76,2324.90,1650.00,27.61,-0.30
Financial Services,ICICIBANK,309.50,309.50,281.50,288.00,-23.15,-7.44,573.30,1673.13,552.20,268.30,-27.48,-43.09
Financial Services,INDUSINDBK,350.00,350.00,310.20,313.75,-28.50,-8.33,230.15,736.19,1823.75,235.55,-82.32,-70.93
Telecom,INFRATEL,158.00,161.60,154.20,157.95,2.85,1.84,81.25,126.27,320.00,120.05,-49.86,-27.16
Information Technology,INFY,603.50,606.00,582.15,588.50,-14.30,-2.37,102.22,605.67,847.00,509.25,-22.50,-20.59
Energy,IOC,81.00,82.10,76.60,79.60,0.65,0.82,170.06,134.55,170.75,74.45,-49.67,-23.42
Cigarettes,ITC,167.90,182.75,167.00,177.50,11.10,6.67,628.68,1100.88,310.00,134.60,-40.42,-9.11
Metals & Mining,JSWSTEEL,143.25,148.15,132.50,143.00,0.00,0.00,185.60,255.94,314.00,132.50,-50.19,-39.15
Financial Services,KOTAKBANK,1181.65,1183.00,1087.00,1158.20,-23.45,-1.98,101.12,1131.07,1740.00,1001.00,-13.53,-27.57
Engineering,LT,791.10,791.10,762.80,783.00,8.65,1.12,42.69,330.10,1607.00,661.00,-44.46,-32.55
Automobile,M&M,274.00,290.00,271.35,281.40,8.55,3.13,69.62,197.27,695.50,245.40,-57.91,-38.60
Automobile,MARUTI,4250.00,4267.00,4001.10,4011.50,-234.85,-5.53,17.25,707.16,7758.70,4001.10,-41.78,-36.17
Consumer Goods,NESTLEIND,15939.70,15939.70,15005.00,15070.00,-584.55,-3.73,1.91,291.68,16835.15,10120.05,39.71,-6.46
Index,NIFTY 50,8356.55,8356.55,8055.80,8083.80,-170.00,-2.06,6977.52,26560.78,12430.50,7511.10,-30.99,-27.39
Energy,NTPC,82.05,82.10,78.85,80.30,-0.70,-0.86,183.20,146.72,145.85,73.20,-40.58,-22.71
Energy,ONGC,69.00,71.00,66.50,69.80,4.05,6.16,397.61,273.68,178.90,50.00,-55.68,-21.66
Energy,POWERGRID,154.55,160.45,151.75,156.45,1.85,1.20,118.50,186.43,216.25,122.15,-21.70,-14.74
Energy,RELIANCE,1134.45,1134.45,1056.30,1088.00,7.55,0.70,189.12,2037.79,1617.55,875.65,-21.71,-17.33
Financial Services,SBIN,187.55,188.20,175.00,176.00,-10.55,-5.66,644.56,1150.86,373.80,173.55,-46.50,-38.76
Cement,SHREECEM,16661.20,16698.45,15410.00,15500.00,-1049.65,-6.34,0.78,124.11,25355.00,15410.00,-16.21,-32.73
Pharma,SUNPHARMA,343.95,389.80,340.00,376.45,32.90,9.58,285.51,1055.40,483.90,312.00,-19.85,1.88
Automobile,TATAMOTORS,66.90,66.90,64.80,65.45,-2.50,-3.68,353.46,231.48,239.35,63.50,-67.75,-47.81
Metals & Mining,TATASTEEL,267.70,268.90,251.00,254.35,-12.00,-4.51,125.28,320.30,561.65,250.85,-52.07,-30.13
Information Technology,TCS,1740.00,1740.00,1650.00,1659.00,-49.75,-2.91,57.36,968.33,2296.20,1506.05,-20.21,-17.10
Information Technology,TECHM,513.75,533.15,510.10,524.00,12.80,2.50,58.26,303.59,846.50,471.40,-33.88,-29.62
Consumer Goods,TITAN,930.00,930.05,855.95,870.00,-66.05,-7.06,49.52,438.06,1389.95,720.90,-21.76,-30.07
Cement,ULTRACEMCO,3189.00,3191.00,3025.00,3032.95,-107.70,-3.43,4.06,125.22,4904.95,2910.00,-24.67,-26.77
Fertilizer,UPL,306.15,307.50,295.00,300.00,-5.75,-1.88,32.65,98.58,709.05,240.15,-67.64,-41.67
Metals & Mining,VEDL,64.00,64.45,62.20,62.80,0.15,0.24,242.26,152.14,195.10,60.20,-66.58,-43.40
Information Technology,WIPRO,188.00,189.60,177.75,180.15,-9.35,-4.93,65.74,119.13,301.60,159.40,-31.15,-18.41
Media & Entertainment,ZEEL,123.00,125.95,119.05,124.40,3.50,2.89,78.88,96.86,439.50,114.00,-70.22,-46.80
